,Country Code,region,Variant,Location,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
44,531,Americas,Estimates,Curaçao,5.07,5.1,4.399,3.8,2.87,2.45,2.25,2.3,2.28,2.121,2.0915,1.9792,2.0655
45,196,Asia,Estimates,Cyprus,3.705,3.498,3.436,2.795,2.49,2.287,2.449,2.428,2.3293,1.8891,1.591,1.48,1.38
46,203,Europe,Estimates,Czechia,2.7383,2.3765,2.2088,1.9573,2.2108,2.3588,1.966,1.9008,1.6455,1.167,1.187,1.4286,1.4789
47,208,Europe,Estimates,Denmark,2.5501,2.5468,2.5823,2.2723,1.9639,1.6816,1.4273,1.5426,1.748,1.756,1.76,1.8537,1.73
48,262,Africa,Estimates,Djibouti,6.312,6.3874,6.547,6.707,6.845,6.644,6.45,6.181,5.85,4.812,4.21,3.55,3.1
49,214,Americas,Estimates,Dominican Republic,7.5995,7.6405,7.3505,6.6495,5.6795,4.76,4.15,3.6495,3.3095,2.98,2.83,2.67,2.5262
50,218,Americas,Estimates,Ecuador,6.75,6.75,6.65,6.4,5.8001,5.05,4.45,4.0,3.55,3.2,2.884,2.7294,2.5863
51,818,Africa,Estimates,Egypt,6.75,6.75,6.65,6.45,6.0,5.7,5.49,5.15,4.12,3.405,3.15,2.981,3.381
52,222,Americas,Estimates,El Salvador,6.3616,6.5973,6.6665,6.3622,5.9472,5.4428,4.7457,4.1669,3.7818,3.3395,2.7225,2.3952,2.17
53,226,Africa,Estimates,Equatorial Guinea,5.666,5.6526,5.6731,5.7928,5.8037,5.7921,5.8925,5.9823,5.9703,5.9361,5.692,5.4005,4.9942
54,232,Africa,Estimates,Eritrea,6.965,6.965,6.815,6.699,6.62,6.62,6.7,6.51,6.2,5.6,5.1,4.8,4.4
55,233,Europe,Estimates,Estonia,2.06,1.99,1.94,2.02,2.15,2.06,2.09,2.199,1.627,1.331,1.391,1.662,1.5908
56,748,Africa,Estimates,Swaziland,6.7,6.7,6.75,6.849,6.866,6.733,6.5,6.0,5.2,4.45,4.0,3.75,3.3
57,231,Africa,Estimates,Ethiopia,7.1696,6.9023,6.8972,6.8691,7.1038,7.1838,7.4247,7.3673,7.0888,6.8335,6.131,5.258,4.63
58,242,Oceania,Estimates,Fiji,6.625,6.792,5.953,5.0,4.2,4.0,3.8,3.47,3.35,3.19,2.98,2.75,2.605
59,246,Europe,Estimates,Finland,2.997,2.769,2.66,2.191,1.623,1.663,1.685,1.66,1.819,1.743,1.754,1.8396,1.77
60,250,Europe,Estimates,France,2.7472,2.6894,2.8318,2.6391,2.3004,1.87,1.8653,1.805,1.7149,1.7621,1.8823,1.978,1.9821
61,254,Americas,Estimates,French Guiana,5.0,4.92,5.02,5.0,4.18,3.3,3.58,3.73,4.05,3.9265,3.724,3.6397,3.4543
62,258,Oceania,Estimates,French Polynesia,6.0,5.861,5.4381,5.199,4.8575,4.229,3.815,3.6447,3.1095,2.6133,2.3608,2.1673,2.0708
63,266,Africa,Estimates,Gabon,3.987,4.201,4.587,4.933,5.228,5.572,5.721,5.577,5.217,4.766,4.35,4.15,4.0
64,270,Africa,Estimates,Gambia,5.2875,5.4639,5.6969,5.9633,6.2023,6.3384,6.2918,6.1417,6.0808,5.9907,5.8961,5.7649,5.6226
65,268,Asia,Estimates,Georgia,2.75,2.909,2.93,2.8,2.601,2.39,2.269,2.263,2.05,1.72,1.58,1.8,2.0
66,276,Europe,Estimates,Germany,2.128,2.274,2.4736,2.3605,1.7084,1.508,1.4637,1.4295,1.3007,1.3456,1.3513,1.3623,1.427
67,288,Africa,Estimates,Ghana,6.442,6.6391,6.8436,6.9514,6.8975,6.6878,6.3494,5.8817,5.3426,5.0189,4.6428,4.3653,4.1803
